City,State,Latitude,Longitude
Roslindale ,MA,42.284197,-71.120896
Jamaica Plain ,MA,42.309661,-71.121097
Mission Hill ,MA,42.3296,-71.1062
Longwood ,MA,42.342042,-71.110608
Bay Village ,MA,42.3506531,-71.0697734
Leather District ,MA,42.3505,-71.0579
Chinatown ,MA,42.3501,-71.0624
North End ,MA,42.3647,-71.0542
Roxbury ,MA,42.325098,-71.095329
South End ,MA,42.3388,-71.0765
Back Bay ,MA,42.3503,-71.081
East Boston ,MA,42.375097,-71.039217
Charlestown ,MA,42.382588,-71.065287
West End ,MA,42.348912,-71.22633
Beacon Hill ,MA,42.3588,-71.0707
Downtown ,MA,41.909112,-71.118346
Fenway ,MA,42.15652,-71.489592
Brighton ,MA,42.3501,-71.15644
West Roxbury ,MA,42.325098,-71.095329
Hyde Park ,MA,42.254248,-71.129321
Mattapan ,MA,42.27232,-71.087
Dorchester ,MA,42.291413,-71.042158
South Boston Waterfront ,MA,42.333431,-71.049495
South Boston ,MA,42.333431,-71.049495
Allston ,MA,42.35843,-71.12589
Harbor Islands,MA,42.3602,-71.0524
